Passive_Agent_Net_Worth,	 Passive_Agent_Shares,	active_0Net_Worth,	 active_0Shares,	 active_1Net_Worth,	 active_1Shares,	 active_2Net_Worth,	 active_2Shares,	 active_3Net_Worth,	 active_3Shares,	 active_4Net_Worth,	 active_4Shares,	 active_5Net_Worth,	 active_5Shares,	 active_6Net_Worth,	 active_6Shares,	 active_7Net_Worth,	 active_7Shares,	 active_8Net_Worth,	 active_8Shares,	 active_9Net_Worth,	 active_9Shares,	 active_10Net_Worth,	 active_10Shares,	 active_11Net_Worth,	 active_11Shares,	 active_12Net_Worth,	 active_12Shares,	 active_13Net_Worth,	 active_13Shares,	 active_14Net_Worth,	 active_14Shares,	 active_15Net_Worth,	 active_15Shares,	 active_16Net_Worth,	 active_16Shares,	 active_17Net_Worth,	 active_17Shares,	 active_18Net_Worth,	 active_18Shares,	 active_19Net_Worth,	 active_19Shares,	 
103799.03412767065,	 56,	 103389.42005908464,	 55,	 103814.78256644483,	 56,	 103567.7382595001,	 56,	 103584.28094376365,	 56,	 103779.3930285077,	 56,	 101896.5583052384,	 55,	 103780.45709912859,	 56,	 103460.29744415611,	 56,	 103580.93163509759,	 56,	 103816.39426939149,	 56,	 103557.8919978784,	 56,	 103408.71082980833,	 56,	 102998.6654591575,	 55,	 103310.60090088367,	 56,	 103435.3250654031,	 56,	 103640.8829946854,	 56,	 103711.74194061288,	 56,	 103459.28085882915,	 56,	 103806.63533670694,	 56,	 103799.08774937995,	 56,	 
103509.85939326163,	 56,	 102979.44473656142,	 55,	 103316.1762127231,	 56,	 103193.88514700433,	 56,	 103219.73672655923,	 56,	 103419.93282969054,	 56,	 101754.55001375198,	 55,	 103468.83262379836,	 56,	 103306.96387550984,	 56,	 103142.30746930097,	 56,	 103367.36557855071,	 56,	 103121.0001702661,	 56,	 103228.29371296249,	 56,	 102602.522783167,	 55,	 102962.69265630472,	 56,	 103071.45646419202,	 56,	 103258.60940948238,	 56,	 103281.6901149204,	 56,	 103128.02778262229,	 56,	 103456.82164460894,	 56,	 103400.9094253277,	 56,	 
103375.4584967927,	 56,	 103252.46229728758,	 55,	 103148.97272891052,	 56,	 103141.59184457237,	 56,	 103169.98167543556,	 56,	 103505.72163430176,	 56,	 101581.98908482959,	 55,	 103588.4354567782,	 56,	 103498.21624615513,	 56,	 102959.48000676044,	 56,	 103193.83074022521,	 56,	 103206.81257270662,	 56,	 103200.53310021712,	 56,	 102848.81213215544,	 55,	 102937.60789198638,	 56,	 103045.26482071675,	 56,	 103091.49952678618,	 56,	 103278.37689695867,	 56,	 103312.75252025288,	 56,	 103689.16244730326,	 56,	 103097.24706406149,	 56,	 
103765.74657685186,	 56,	 103199.82727188483,	 37,	 103634.07012743142,	 33,	 103555.00966757842,	 19,	 103579.11109751824,	 36,	 103777.66492958179,	 9,	 102086.71590744583,	 14,	 103790.70905685217,	 19,	 103503.04959429611,	 19,	 103435.88136407331,	 34,	 103732.0148325474,	 33,	 103396.88091800766,	 45,	 103407.61251744197,	 47,	 102982.73960279873,	 13,	 103242.13827252435,	 37,	 103414.18775709723,	 34,	 103582.90297724548,	 21,	 103565.21247959281,	 54,	 103475.69494519285,	 14,	 103669.1775571719,	 56,	 103655.24400892787,	 56,	 
102839.02020069197,	 56,	 102743.98061371603,	 55,	 103098.24343887134,	 47,	 103243.11623161743,	 35,	 102965.88278279454,	 43,	 103602.1608666509,	 54,	 101975.00211971166,	 46,	 103349.44443525735,	 36,	 103202.82154753394,	 19,	 102935.8186527987,	 51,	 103299.43113368074,	 48,	 102413.40198485216,	 46,	 102712.92996874184,	 50,	 102636.77668065832,	 21,	 102454.03908795097,	 46,	 102720.33999301156,	 40,	 103156.23742300541,	 23,	 102385.05505737773,	 55,	 103222.50934589961,	 54,	 102729.22672817574,	 56,	 102419.0523187236,	 56,	 
100906.99669633256,	 56,	 100691.94484693666,	 56,	 101429.26310417723,	 54,	 101941.18514944048,	 50,	 101493.82599970108,	 45,	 101643.23084577713,	 54,	 100350.59174157625,	 54,	 102239.34330503707,	 40,	 102527.13296596083,	 25,	 101137.77608201315,	 51,	 101482.99020607246,	 49,	 101015.44477477571,	 54,	 100879.08123235742,	 52,	 101982.60880265848,	 48,	 101027.1361854275,	 53,	 101368.22840317452,	 45,	 102388.99044352832,	 31,	 100680.35889747168,	 55,	 101315.79434614739,	 55,	 100763.47750549778,	 56,	 100724.02157451253,	 56,	 
99941.73262756452,	 56,	 100059.57765863366,	 45,	 100702.37120800499,	 28,	 101166.52410450694,	 9,	 100793.86866511722,	 34,	 101073.30849080665,	 49,	 99604.65532736108,	 9,	 101857.34098334472,	 38,	 102163.15806982739,	 4,	 100448.24808645231,	 50,	 100907.03883815148,	 34,	 100285.72093224134,	 49,	 100042.42912034594,	 41,	 101314.48776707002,	 6,	 100323.05732515632,	 12,	 100709.57685985774,	 41,	 101882.74702539723,	 20,	 99977.20423636178,	 25,	 100711.62239192343,	 52,	 100022.96074789403,	 18,	 99974.06902015793,	 5,	 
100894.85137610324,	 56,	 100465.13604104334,	 51,	 100774.62780159235,	 44,	 101373.33157937002,	 36,	 101384.78267344127,	 37,	 101181.07642381656,	 51,	 99683.6470143916,	 35,	 102042.33702462357,	 45,	 102183.49572840412,	 25,	 100561.51406466229,	 52,	 101251.19098198903,	 49,	 100520.9367689386,	 54,	 100284.47557885345,	 41,	 101393.68501288252,	 15,	 100308.53884439102,	 49,	 101119.16926953837,	 45,	 101768.25357345953,	 48,	 100054.68550723791,	 27,	 100886.97153943228,	 52,	 100210.62239268537,	 23,	 99723.59292515676,	 31,	 
99892.55249089206,	 56,	 99655.21132205984,	 56,	 100343.387240549,	 52,	 100693.3330096057,	 36,	 100668.49286688569,	 43,	 100520.2408408992,	 54,	 99283.26775153927,	 40,	 101322.40031249853,	 45,	 101781.5265013015,	 43,	 100086.1984471873,	 55,	 100479.4062382294,	 54,	 100040.18961315985,	 56,	 100018.03100913265,	 47,	 101122.55383355307,	 56,	 99519.59298411419,	 50,	 100425.26988437213,	 55,	 101323.25816107808,	 55,	 99807.1307487207,	 37,	 100346.33775048052,	 55,	 99807.04220632822,	 44,	 99458.44286910933,	 31,	 
100464.42230802315,	 56,	 100360.16792384523,	 23,	 101404.6077559067,	 38,	 100919.42916653879,	 8,	 101252.01836564511,	 30,	 101524.81223645443,	 21,	 100005.04608480853,	 7,	 102330.96980523855,	 7,	 102413.45268976555,	 39,	 100817.39457451823,	 17,	 101530.97160624478,	 41,	 100835.55703288405,	 36,	 100671.36779759609,	 40,	 101526.29379642293,	 51,	 99997.5641709021,	 23,	 101568.82796860093,	 55,	 102175.7204928723,	 50,	 100039.86177137688,	 6,	 100983.03392855845,	 25,	 100332.82461673992,	 16,	 100066.64414098796,	 27,	 
